asset_y,asset_x,correlation,cointegration_pvalue,cointegration_passed,half_life,liquidity_passed,avg_dollar_volume_y,avg_dollar_volume_x,rank
TXN,HON,0.5205732632548962,0.0011897324005264217,True,11.621881128163416,True,788210215.2121906,533169121.5468416,1
WFC,UNP,0.42850114815855894,0.0037033454780537583,True,20.561866240904795,True,946538683.7699124,583175832.2010444,2
JNJ,BMY,0.4542003389481361,0.00681567902912807,True,17.02108459271992,True,1268671712.7565079,619935084.8747048,3
WFC,ACN,0.4118312119888265,0.008194353649664086,True,19.94232800516376,True,946538683.7699124,614512838.6498432,4
HD,ACN,0.5673472579462779,0.009024442302454739,True,19.6282982207961,True,1106069899.0650415,614512838.6498432,5
TXN,AVGO,0.7506542936825182,0.010819767801601352,True,15.535498104761837,True,788210215.2121906,1380478633.518484,6
MA,NVDA,0.47331997041237417,0.011292332117698945,True,19.01921597421066,True,1178230195.2573903,11486378415.880682,7
TXN,COST,0.47993417211115935,0.012391807895517883,True,15.950233012672998,True,788210215.2121906,1014424041.9275236,8
MA,AVGO,0.5038788775413351,0.012583406798909713,True,19.828023090596844,True,1178230195.2573903,1380478633.518484,9
MA,ORCL,0.4038959359298757,0.012986460541411969,True,17.527067031354907,True,1178230195.2573903,798195251.615724,10
WFC,BA,0.47643530393124206,0.018454499920416454,True,30.271289221728544,True,946538683.7699124,1811678476.2875037,11
JPM,BA,0.461313870591782,0.019329750355221605,True,22.530319011328366,True,1594910150.8908727,1811678476.2875037,12
TXN,NVDA,0.6488795322831428,0.01983263287659873,True,17.04164383835035,True,788210215.2121906,11486378415.880682,13
WFC,DIS,0.43962523263095926,0.020099748567358383,True,29.646839048192078,True,946538683.7699124,1441643937.5907607,14
HON,COST,0.4209965460375771,0.02060799239087462,True,31.994507858459237,True,533169121.5468416,1014424041.9275236,15
GOOGL,CRM,0.5569307147601934,0.023361484160176516,True,32.10857261213882,True,3817214031.70573,1353294606.8820574,16
JNJ,KO,0.47108666513637715,0.023692084960839303,True,20.758251574677047,True,1268671712.7565079,783800461.8018861,17
XOM,BAC,0.4334296495833491,0.028663106901394793,True,39.46144930790476,True,1610401208.691738,1529736864.6939528,18
TXN,ACN,0.6144671151064921,0.03432652354278206,True,18.095606650686335,True,788210215.2121906,614512838.6498432,19
BRK-B,PG,0.4191599762618774,0.0365415471286082,True,25.289038936164694,True,1239476039.922749,928849513.8886184,20
GOOGL,META,0.6288147759460372,0.03743809609516572,True,36.05391124494736,True,3817214031.70573,6002268403.526086,21
JNJ,ABBV,0.4364487814436866,0.03834300007748509,True,22.62508922811496,True,1268671712.7565079,732663690.211784,22
JNJ,ABT,0.4263304292205652,0.045391013654618555,True,25.93655233635386,True,1268671712.7565079,554951058.5509181,23
V,NVDA,0.4454141216939351,0.046178461615144814,True,22.73380948506634,True,1572449150.7113888,11486378415.880682,24
