asset_y,asset_x,correlation,cointegration_pvalue,cointegration_passed,half_life,liquidity_passed,avg_dollar_volume_y,avg_dollar_volume_x,rank
MA,NVDA,0.4637081055985235,0.00028407013526016763,True,25.611993327105875,True,1200653026.8804224,15868586698.58978,1
V,MA,0.9038835602358267,0.000794114273666568,True,26.20771506920536,True,1677868066.1973367,1200653026.8804224,2
MA,AVGO,0.4492287187703956,0.0009602937352207652,True,28.149897455986014,True,1200653026.8804224,2462474643.1631885,3
HD,UNP,0.5601362840250207,0.002715538148668043,True,33.54763347182063,True,1076455740.6728501,579516759.8521744,4
UNP,TXN,0.49911413352821804,0.0037238996492455134,True,29.757867041520093,True,579516759.8521744,807172173.9165095,5
HD,TXN,0.5267528079041706,0.004480451142405474,True,33.15485663219903,True,1076455740.6728501,807172173.9165095,6
ABT,TXN,0.40538808399345755,0.005095354322640519,True,35.93924933132695,True,573336200.7968575,807172173.9165095,7
PG,HD,0.44208591191790986,0.005170955598917346,True,31.386891437147433,True,951153256.644994,1076455740.6728501,8
V,AVGO,0.44795496006194585,0.005776023627976166,True,31.082897543947254,True,1677868066.1973367,2462474643.1631885,9
ORCL,AVGO,0.48783022810398596,0.006449645484001032,True,36.61980052292253,True,1237227390.6952043,2462474643.1631885,10
V,NVDA,0.45446474350579286,0.008919829830486682,True,34.060672964041984,True,1677868066.1973367,15868586698.58978,11
UNP,ACN,0.534159638939636,0.009892079047298203,True,34.67405959659107,True,579516759.8521744,642968877.6697793,12
KO,COST,0.4079348366815739,0.011255951805529955,True,45.43309638155836,True,789685877.2699031,1158706754.9742374,13
BRK-B,MA,0.648485733241214,0.012536084141299064,True,55.41312849159327,True,1384332224.698926,1200653026.8804224,14
TXN,HON,0.5094578531085611,0.013401667448688733,True,26.91635768485869,True,807172173.9165095,565517498.6719267,15
AAPL,UNP,0.4604292480875177,0.015143402471417523,True,41.24830059864584,True,11328074540.90147,579516759.8521744,16
MA,COST,0.4364380364165071,0.01571471044232726,True,36.09715171643488,True,1200653026.8804224,1158706754.9742374,17
JPM,V,0.601403578287048,0.01943708171125566,True,49.353954807644605,True,1696390569.3902574,1677868066.1973367,18
BRK-B,KO,0.5790888286423925,0.019891380343807778,True,46.42771884066402,True,1384332224.698926,789685877.2699031,19
PG,COST,0.4730476694512655,0.021302238216259962,True,39.03386788978426,True,951153256.644994,1158706754.9742374,20
