date,asset_y_returns,asset_x_returns,position,spread_return,lagged_position,strategy_return_before_cost,position_change,transaction_cost,strategy_return
2019-01-03 00:00:00+00:00,-0.04616370172353257,-0.06231908995122093,0.0,-0.032978770651623884,0.0,-0.0,0.0,0.0,-0.0
2019-01-04 00:00:00+00:00,0.04626910356843439,0.062098833713346346,0.0,0.03313077239579906,0.0,0.0,0.0,0.0,0.0
2019-01-07 00:00:00+00:00,0.007664481848014937,0.05158695860739382,0.0,-0.003249838209936559,0.0,-0.0,0.0,0.0,-0.0
2019-01-08 00:00:00+00:00,0.007242821438508962,-0.025210529122325243,0.0,0.012576645937942185,0.0,0.0,0.0,0.0,0.0
2019-01-09 00:00:00+00:00,0.01798785776301859,0.019475846623743243,0.0,0.01386732751294408,0.0,0.0,0.0,0.0,0.0
2019-01-10 00:00:00+00:00,0.006009388628211099,0.018415446937399604,0.0,0.002113208521632877,0.0,0.0,0.0,0.0,0.0
2019-01-11 00:00:00+00:00,-0.005345564466537667,0.02448602237580433,0.0,-0.01052610412947074,0.0,-0.0,0.0,0.0,-0.0
2019-01-14 00:00:00+00:00,-0.002402065908110984,0.01075961860508623,0.0,-0.004678492437752707,0.0,-0.0,0.0,0.0,-0.0
2019-01-15 00:00:00+00:00,0.005561948258137939,-0.0037960819335867146,0.0,0.006365090259679284,0.0,0.0,0.0,0.0,0.0
2019-01-16 00:00:00+00:00,0.00634053203352547,-0.006896348181491874,0.0,0.007799601405238459,0.0,0.0,0.0,0.0,0.0
2019-01-17 00:00:00+00:00,0.007756662240742784,0.019164813342834375,0.0,0.0037019377072322205,0.0,0.0,0.0,0.0,0.0
2019-01-18 00:00:00+00:00,0.013406295826664305,0.0337631292282079,0.0,0.006262986577535174,0.0,0.0,0.0,0.0,0.0
2019-01-22 00:00:00+00:00,-0.012653982427646149,-0.05339835688315331,0.0,-0.0013564224759741693,0.0,-0.0,0.0,0.0,-0.0
2019-01-23 00:00:00+00:00,-0.00558056801337159,0.0034892338942047463,0.0,-0.00631878977535282,0.0,-0.0,0.0,0.0,-0.0
2019-01-24 00:00:00+00:00,0.007233667951587641,0.05569113866191677,0.0,-0.00454897882884879,0.0,-0.0,0.0,0.0,-0.0
2019-01-25 00:00:00+00:00,0.01564355393890704,0.014529014326930545,0.0,0.012569631444318365,0.0,0.0,0.0,0.0,0.0
2019-01-28 00:00:00+00:00,-0.01379332213199369,-0.14878472974257662,0.0,0.01768525702800256,0.0,0.0,0.0,0.0,0.0
2019-01-29 00:00:00+00:00,-0.004606918513474945,-0.0475591274219771,0.0,0.005455228051722213,0.0,0.0,0.0,0.0,0.0
2019-01-30 00:00:00+00:00,0.023707900049211084,0.04305657805166008,0.0,0.014598363721775151,0.0,0.0,0.0,0.0,0.0
2019-01-31 00:00:00+00:00,0.034256029245380404,0.045252082735852905,0.0,0.02468198713084467,0.0,0.0,0.0,0.0,0.0
2019-02-01 00:00:00+00:00,0.012426613191316882,0.0067942579850761575,0.0,0.010989143175498088,0.0,0.0,0.0,0.0,0.0
2019-02-04 00:00:00+00:00,0.005318665146097246,0.030283692864046197,0.0,-0.0010884952172494824,0.0,-0.0,0.0,0.0,-0.0
2019-02-05 00:00:00+00:00,0.00441071355974465,0.0051482746721081,0.0,0.003321486378408561,0.0,0.0,0.0,0.0,0.0
2019-02-06 00:00:00+00:00,-0.00259764502658566,0.020136016208480267,0.0,-0.006857848216000929,0.0,-0.0,0.0,0.0,-0.0
2019-02-07 00:00:00+00:00,-0.006196586091658851,-0.037152265656011485,0.0,0.0016637671680433137,0.0,0.0,0.0,0.0,0.0
2019-02-08 00:00:00+00:00,0.012124175921309543,0.005074607478463555,0.0,0.011050534604132006,0.0,0.0,0.0,0.0,0.0
2019-02-11 00:00:00+00:00,0.0023980826841158986,-0.011676189958690353,0.0,0.004868429409466765,0.0,0.0,0.0,0.0,0.0
2019-02-12 00:00:00+00:00,0.008302609561609664,0.0317209580924922,0.0,0.0015913651209128882,0.0,0.0,0.0,0.0,0.0
2019-02-13 00:00:00+00:00,0.007418397884510597,0.01124826856350114,0.0,0.005038587046384353,0.0,0.0,0.0,0.0,0.0
2019-02-14 00:00:00+00:00,-0.0033155474904837945,0.010734952322175806,0.0,-0.005586755342506369,0.0,-0.0,0.0,0.0,-0.0
2019-02-15 00:00:00+00:00,0.010409217810574134,0.018020816653373517,0.0,0.006596530147448543,0.0,0.0,0.0,0.0,0.0
2019-02-19 00:00:00+00:00,-0.006866979774398985,-0.004458890120118575,0.0,-0.005923606581096661,0.0,-0.0,0.0,0.0,-0.0
2019-02-20 00:00:00+00:00,0.00235454036792504,0.0121198222094685,0.0,-0.00020966621084095088,0.0,-0.0,0.0,0.0,-0.0
2019-02-21 00:00:00+00:00,-0.00817406122449249,-0.01768944063876332,0.0,-0.004431483216609605,0.0,-0.0,0.0,0.0,-0.0
2019-02-22 00:00:00+00:00,0.0181194664226636,0.021717897013104226,0.0,0.013524582649990973,0.0,0.0,0.0,0.0,0.0
2019-02-25 00:00:00+00:00,0.0,-0.003145843778620705,0.0,0.0006655702677393503,0.0,0.0,0.0,0.0,0.0
2019-02-26 00:00:00+00:00,0.003040331412831776,-0.010070068311788916,0.0,0.00517086888833526,0.0,0.0,0.0,0.0,0.0
2019-02-27 00:00:00+00:00,0.002541410735492633,-0.010815759340231157,0.0,0.004829715033628593,0.0,0.0,0.0,0.0,0.0
2019-02-28 00:00:00+00:00,0.0008901945662165289,-0.006390623051924393,0.0,0.0022422670132327916,0.0,0.0,0.0,0.0,0.0
2019-03-01 00:00:00+00:00,0.010973075901110185,0.014096979606886828,0.0,0.007990559555245866,0.0,0.0,0.0,0.0,0.0
2019-03-04 00:00:00+00:00,-0.004233370523978763,0.002107078653120542,0.0,-0.004679167900452491,0.0,-0.0,0.0,0.0,-0.0
2019-03-05 00:00:00+00:00,-0.00030938543066660884,-0.0016597514156286852,0.0,4.177033923786404e-05,0.0,0.0,0.0,0.0,0.0
2019-03-06 00:00:00+00:00,-0.00776590913964359,-0.028974383216265,0.0,-0.0016357611247007388,0.0,-0.0,0.0,0.0,-0.0
2019-03-07 00:00:00+00:00,-0.009219542569227634,-0.01851966243187131,0.0,-0.005301313454675936,0.0,-0.0,0.0,0.0,-0.0
2019-03-08 00:00:00+00:00,-0.002430900629768473,0.009203132651228518,0.0,-0.0043780193978226745,0.0,-0.0,0.0,0.0,-0.0
2019-03-11 00:00:00+00:00,0.01684918410719405,0.06738066800459697,0.0,0.002593368370552844,0.0,0.0,0.0,0.0,0.0
2019-03-12 00:00:00+00:00,0.005744856491084249,0.008527518750733654,0.0,0.003940678236381906,0.0,0.0,0.0,0.0,0.0
2019-03-13 00:00:00+00:00,0.00685054497170956,0.03684659139146773,0.0,-0.0009451363855046127,0.0,-0.0,0.0,0.0,-0.0
2019-03-14 00:00:00+00:00,0.004410391201383312,-0.018313995630413915,0.0,0.008285107122736616,0.0,0.0,0.0,0.0,0.0
2019-03-15 00:00:00+00:00,0.007206769057669149,0.025346498087119862,0.0,0.001844177427166794,0.0,0.0,0.0,0.0,0.0
2019-03-18 00:00:00+00:00,-0.003379845491374489,-0.005077351807929675,0.0,-0.002305623552835539,0.0,-0.0,0.0,0.0,-0.0
2019-03-19 00:00:00+00:00,0.0026874745261293853,0.03923209561566443,0.0,-0.005612911068460517,0.0,-0.0,0.0,0.0,-0.0
