fold_id,weight_method,start_date,end_date,n_observations,final_cumulative_return,mean_daily_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,hit_rate,alpha,annualized_alpha,newey_west_standard_error,newey_west_tstat,newey_west_pvalue,newey_west_lags,scenario
fold_1,equal_weight,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.1246375159291857,0.0004866619206573086,0.12623021849483473,0.08679375434069717,1.1087228479263151,-0.044414109957879755,0.5220883534136547,0.0004866619206573088,0.12263880400564181,0.0003202102123741389,1.5198201114481786,0.12855619307831634,5,gross
fold_1,rank_weight,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.08672141182649118,0.00034571488678233496,0.08781084302125475,0.0769113368295071,0.7516556778801896,-0.0757599789191924,0.5100401606425703,0.00034571488678233485,0.08712015146914838,0.0002816615763481691,1.2274123125512435,0.2196676610028765,5,gross
fold_1,inverse_half_life,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.10848503153343358,0.0004284802715763927,0.1098613983406147,0.08659834586640147,0.9222046627059123,-0.049437956971354224,0.5140562248995983,0.0004284802715763926,0.10797702843725093,0.00031316734061536685,1.3682150595092017,0.17124476910243236,5,gross
fold_2,equal_weight,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.09544864449823254,-0.00039239871316913287,-0.09581009080179215,0.060275059052255456,-2.0872661558526406,-0.11306751872157084,0.43824701195219123,-0.00039239871316913266,-0.09888447571862143,0.00024646494680434034,-1.5921075928117432,0.11136053134569562,5,gross
fold_2,rank_weight,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.11742274378304629,-0.0004843558159304983,-0.11786184487322049,0.08161888906343649,-1.8116130539132689,-0.13420213547095894,0.44621513944223107,-0.00048435581593049814,-0.12205766561448553,0.0003572383662252433,-1.3558337001941883,0.175152086160558,5,gross
fold_2,inverse_half_life,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.10435612171319919,-0.00043191515813775316,-0.10474930655346992,0.05985006778700009,-2.2514478518725847,-0.11785310959285733,0.41832669322709165,-0.00043191515813775327,-0.10884261985071382,0.0002510422769891048,-1.7204877334525543,0.08534382152298588,5,gross
fold_3,equal_weight,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,-0.0643920528360089,-0.0002358909481200008,-0.06514202793872625,0.12626349812158422,-0.7535196581288296,-0.15180783746083926,0.4497991967871486,-0.00023589094812000107,-0.05944451892624027,0.0004976293074901457,-0.47402945238443833,0.6354789047868787,5,gross
fold_3,rank_weight,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,0.07584516215693538,0.000336124478627403,0.07679318596988116,0.14708258096385476,0.3181422685353916,-0.08687149853247467,0.5020080321285141,0.0003361244786274028,0.0847033686141055,0.0005629004195913938,0.5971295577846497,0.5504208851007173,5,gross
fold_3,inverse_half_life,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,-0.0008837693765786359,2.9230293220931652e-05,-0.0008944124372080031,0.12914254543351417,-0.23922722239599362,-0.09907093660545574,0.4859437751004016,2.9230293220931547e-05,0.00736603389167475,0.0005133793826644938,0.05693702203080927,0.954595362818593,5,gross
fold_1,equal_weight,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.09397030950992025,0.00037558872195911743,0.09515472579191475,0.08680655582361901,0.7505737921949317,-0.0470588043764496,0.5140562248995983,0.00037558872195911754,0.09464835793369762,0.00032006313769584316,1.173483221663722,0.24060208135920025,5,base
fold_1,rank_weight,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.055074585999576264,0.0002269962231347096,0.055756301216976834,0.07691975926900207,0.3348463575776735,-0.08191032653950381,0.5060240963855421,0.00022699622313470953,0.057203048229946804,0.0002812450171737444,0.8071119816301611,0.41960196969658226,5,base
fold_1,inverse_half_life,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.07818941121440015,0.00031715667141247696,0.07916780075602126,0.08661033972845116,0.5676897343917221,-0.05524174272811533,0.5100401606425703,0.00031715667141247723,0.07992348119594427,0.00031299254652742634,1.013304230184555,0.3109148676019994,5,base
fold_2,equal_weight,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.11780246672845274,-0.0004920474367727877,-0.1182428906594517,0.0602720172454077,-2.459564113406985,-0.13320430856508214,0.4262948207171315,-0.0004920474367727877,-0.12399595406674249,0.00024659122487023896,-1.9953971883294406,0.04599957735860354,5,base
fold_2,rank_weight,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.14625834029783868,-0.0006166245634737845,-0.14679601672296716,0.0816071870691173,-2.1664270399766328,-0.1609668522090354,0.44223107569721115,-0.0006166245634737844,-0.15538938999539367,0.0003570054523723777,-1.7272132942961573,0.08412936413219686,5,base
fold_2,inverse_half_life,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.12860528907950208,-0.0005412160101762771,-0.12908307199496327,0.059842633415046795,-2.658356808792501,-0.1398645891097705,0.4103585657370518,-0.0005412160101762772,-0.13638643456442184,0.00025108675180092124,-2.155494092358128,0.03112319042324138,5,base
fold_3,equal_weight,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,-0.08411933817184392,-0.0003214370126919204,-0.08508843601354843,0.12628121384630694,-0.9113662476638773,-0.16446940829027812,0.4497991967871486,-0.0003214370126919203,-0.08100212719836392,0.0004977439748573561,-0.6457878526486192,0.5184167559429798,5,base
fold_3,rank_weight,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,0.046667816307275345,0.00022568689895029526,0.04724315755754738,0.14709059130508212,0.11722814766434086,-0.09593179823988307,0.4939759036144578,0.00022568689895029518,0.056873098535474384,0.0005626561690108795,0.4011097920547838,0.6883392917990574,5,base
fold_3,inverse_half_life,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,-0.022220280273917092,-5.7450599707766405e-05,-0.02248496204255901,0.1291536873564918,-0.4063760246944347,-0.11227511798106748,0.4738955823293173,-5.745059970776634e-05,-0.014477551126357117,0.0005134421055264893,-0.11189304322608262,0.9109082126656696,5,base
fold_1,equal_weight,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.06413593490058278,0.00026451552326092623,0.0649332217696359,0.08682099649661006,0.4023591432862657,-0.052778699411375585,0.5100401606425703,0.0002645155232609263,0.06665791186175342,0.00031992056091871595,0.8268162649543905,0.40834120967926424,5,conservative
fold_1,rank_weight,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.024345580054042193,0.00010827755948708408,0.024642485213969056,0.07693055801201859,-0.06964091934955102,-0.08802047283370684,0.4819277108433735,0.00010827755948708414,0.027285944990745204,0.0002808412167501003,0.38554725242994614,0.6998320047079047,5,conservative
fold_1,inverse_half_life,2023-01-04 00:00:00+00:00,2023-12-29 00:00:00+00:00,249,0.0487184059068928,0.00020583307124856113,0.04931961831265563,0.08662398710087728,0.22302850468147034,-0.061010722109684834,0.4939759036144578,0.00020583307124856113,0.051869933954637404,0.00031282197277339533,0.657987894596088,0.5105459098028884,5,conservative
fold_2,equal_weight,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.139606091868694,-0.0005916961603764424,-0.14012136817780252,0.060270483957483814,-2.822631527196796,-0.15292059658833168,0.41434262948207173,-0.0005916961603764425,-0.14910743241486352,0.00024673320896097066,-2.3981212860164263,0.016479407622552875,5,conservative
fold_2,rank_weight,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.17415559049040275,-0.0007488933110170711,-0.17478492989773708,0.0815975865710425,-2.5096934664782293,-0.1869941915826766,0.4302788844621514,-0.0007488933110170712,-0.18872111437630193,0.0003567878440429466,-2.0989877416533473,0.03581798134572331,5,conservative
fold_2,inverse_half_life,2024-01-03 00:00:00+00:00,2024-12-31 00:00:00+00:00,251,-0.15220056308282992,-0.0006505168622148009,-0.1527580735942452,0.059837134003574675,-3.0542584740660743,-0.1616084788512927,0.3944223107569721,-0.0006505168622148009,-0.16393024927812982,0.00025115121228568086,-2.5901402437781087,0.009593683890794182,5,conservative
fold_3,equal_weight,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,-0.10343244954493336,-0.0004069830772638396,-0.10461105629236567,0.12630017232362967,-1.0658026336451887,-0.17716045308562567,0.4457831325301205,-0.00040698307726383967,-0.10255973547048759,0.0004978639533632473,-0.8174584131157214,0.41366650581530995,5,conservative
fold_3,rank_weight,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,0.0182782888376396,0.00011524931927318751,0.0185005339086457,0.14710124027190746,-0.0781738214450011,-0.10490325015658453,0.4779116465863454,0.0001152493192731875,0.02904282845684325,0.0005624308519480556,0.204912868620215,0.8376402008508967,5,conservative
fold_3,inverse_half_life,2025-01-03 00:00:00+00:00,2025-12-31 00:00:00+00:00,249,-0.04310308414594943,-0.00014413149263646423,-0.04361090723008665,0.1291660627196091,-0.5698935593467738,-0.12528690918997198,0.4738955823293173,-0.00014413149263646437,-0.03632113614438902,0.0005135105621838082,-0.28067873039167074,0.7789568239083914,5,conservative
