method,var,cvar
historical,-0.02043648188126639,-0.030486902574673482
parametric,-0.02186347906843363,-0.027049837334385804
monte_carlo,-0.021791834022438266,-0.027030559006189118
daily_mean_returns,-0.0014479883926726603,
daily_volatility,0.012411737033159901,
max_drawdown,-0.7098145528535542,
