date,AAPL,MSFT,GOOGL,META,AMZN,NVDA,ADBE,CRM,ORCL,INTC
2020-01-02 00:00:00+00:00,72.3396040565,151.81745691,67.8701058926,208.1624295378,94.9005,5.9640421853,334.43,164.5375168521,49.1592955035,53.6668879405
2020-01-03 00:00:00+00:00,71.6363190762,149.9270639713,67.5150558019,207.0609885196,93.7485,5.8685817126,331.81,163.7295597061,48.986167308,53.0141348656
2020-01-06 00:00:00+00:00,72.2071359952,150.3145945237,69.3146043763,210.9606850974,95.144,5.8931926157,333.71,170.9026426612,49.2413035961,52.8641780782
2020-01-07 00:00:00+00:00,71.867536056,148.9440596432,69.1807167723,211.417138132,95.343,5.9645393752,333.39,173.4151923227,49.3506477195,51.9820793283
2020-01-08 00:00:00+00:00,73.0236209552,151.3165027813,69.6731256272,213.5604828159,94.5985,5.9757261494,337.87,174.7256594011,49.5419999356,52.0173632783
2020-01-09 00:00:00+00:00,74.5747015283,153.20689572,70.4045486493,216.616733569,95.0525,6.0413552243,340.45,176.9623212566,49.7708102069,52.3084558658
2020-01-10 00:00:00+00:00,74.7432972427,152.497998368,70.8592706231,216.3785841597,94.158,6.0736725718,339.81,177.5535094122,49.8348770828,51.9909003158
2020-01-13 00:00:00+00:00,76.3401395098,154.3316795186,71.4082097997,220.198897601,94.565,6.2640963271,345.63,181.1499040258,49.9538584239,52.5642645032
2020-01-14 00:00:00+00:00,75.3092971413,153.2447035788,70.9400990655,217.3708733652,93.472,6.1472566861,344.63,179.4453115103,50.2284307494,52.4231287032
2020-01-15 00:00:00+00:00,74.9865567736,154.2371598716,71.3670517584,219.4447578048,93.101,6.1047469444,342.94,178.400879102,50.1186018192,51.9909003158
2020-01-16 00:00:00+00:00,75.9258757542,157.063297315,71.9105362548,220.0599771122,93.897,6.188274858,345.38,180.0069402582,50.7318133462,52.6260114157
2020-01-17 00:00:00+00:00,76.7664458163,157.9423300316,73.3664399789,220.4271241182,93.236,6.1969756823,349.74,179.5536960055,50.4572410207,52.5730854907
2020-01-21 00:00:00+00:00,76.2462076117,157.3752121499,73.501815223,219.7325216744,94.6,6.1636639549,350.0,182.5490493275,50.5396127183,53.4110793031
2020-01-22 00:00:00+00:00,76.518369265,156.6190549744,73.5821477854,219.6134469697,94.373,6.2176090657,350.06,180.0660590737,50.0819921758,55.3340545777
2020-01-23 00:00:00+00:00,76.8868713267,157.5831553732,73.6228099466,218.0654758091,94.229,6.2859726855,351.76,181.2779947928,50.3199548579,55.8544928401
2020-01-24 00:00:00+00:00,76.6652883876,155.9952253047,72.7044401589,216.259509455,93.082,6.22680708,351.37,179.4354583744,49.4870854705,60.3973014018
2020-01-27 00:00:00+00:00,74.4109228342,153.3864830492,70.9966293872,213.213181594,91.417,5.9712514397,346.9,178.0560193445,48.2240527731,57.9450668773
2020-01-28 00:00:00+00:00,76.5159607548,156.3922078218,71.9273961754,216.1106660742,92.6625,6.1644097398,354.63,180.164590433,48.9287884086,59.374066852
2020-01-29 00:00:00+00:00,78.1176200423,158.8308147128,72.2348417847,221.5087193523,92.9,6.1040011595,351.66,179.1004517529,48.6908257265,58.5096100772
2020-01-30 00:00:00+00:00,78.0044200625,163.3110459776,72.113351181,207.9143572364,93.534,6.110713224,356.74,182.9431747645,48.7915022458,58.6331039021
2020-01-31 00:00:00+00:00,74.5457994058,160.9007949807,71.0486967888,200.3531134902,100.436,5.8775311319,351.14,179.6325210929,48.0043949126,56.3925730775
2020-02-03 00:00:00+00:00,74.3410760382,164.8233603286,73.5191710235,202.6155328788,100.21,5.9744831745,358.0,182.6968463664,48.5901492071,56.824801465
2020-02-04 00:00:00+00:00,76.7953479388,170.2487880627,71.6749932477,208.2120439981,102.4835,6.1435277614,366.74,185.5739620572,49.4596282379,57.7421841648
2020-02-05 00:00:00+00:00,77.4215605925,170.0408448395,71.7067295687,208.4898849756,101.9935,6.2337677395,365.55,182.7658183179,50.1002969975,59.4005298145
2020-02-06 00:00:00+00:00,78.3271604302,173.5664276702,73.1904025736,209.2241789877,102.5115,6.3205273878,367.46,183.9876071729,50.0728397649,59.4710977145
2020-02-07 00:00:00+00:00,77.2650074291,173.8121787523,73.3461088983,210.6927670119,103.964,6.2544011229,366.09,182.9924404442,50.0819921758,58.5226094964
2020-02-10 00:00:00+00:00,77.6319818105,178.3585737699,74.8114343426,211.417138132,106.6955,6.5373022111,370.0,186.3425066595,50.3291072688,58.8505914036
2020-02-11 00:00:00+00:00,77.1636066132,174.3320368104,74.8808575447,205.5924004955,107.54,6.6596109417,369.28,186.3326535236,50.4755458424,59.7547577423
2020-02-12 00:00:00+00:00,78.9960642152,174.5872398571,75.3058267175,209.1348729592,108.0,6.7752076077,374.29,186.677513281,51.0063856717,59.7990796217
2020-02-13 00:00:00+00:00,78.4335311174,173.6420433878,75.0459855897,211.4965212684,107.4935,6.7314548911,374.84,185.869556135,50.621984416,59.78135087
2020-02-14 00:00:00+00:00,78.4528455585,175.1921655975,75.3107855177,212.5285020422,106.7435,7.2040339497,379.67,187.1603169415,50.7684229896,59.6306564802
2020-02-18 00:00:00+00:00,77.0163339996,176.9691349599,75.3459929987,216.1205889662,107.7835,7.3725813467,378.85,188.2835744372,50.7501181679,58.6289820068
2020-02-19 00:00:00+00:00,78.1317429747,177.4984449828,75.6152558469,215.8129793125,108.511,7.823284047,383.28,190.0374326323,50.740965757,59.4888264662
2020-02-20 00:00:00+00:00,77.3301936679,174.7878215705,75.2245023951,212.9254177244,107.655,7.6741270585,378.96,190.5202362927,50.805032633,58.0173400717
2020-02-21 00:00:00+00:00,75.5798224406,169.2623199993,73.5618167048,208.55934522,104.7985,7.3104326015,372.95,186.7169258248,50.0453825324,57.0333943501
2020-02-24 00:00:00+00:00,71.9897506959,161.9644877355,70.4080198094,199.1722893356,100.4645,6.7936036363,357.41,183.2092094346,48.1874431297,54.7463853756
2020-02-25 00:00:00+00:00,69.5513025034,159.2917751402,68.7448382391,195.2527469737,98.637,6.5144314728,347.8,178.6077949565,46.6406856959,52.9469170739
2020-02-26 00:00:00+00:00,70.6546399529,161.2820930303,68.9506284453,195.6794313321,98.9795,6.6536446621,351.34,176.2430423339,47.6382984786,52.8760020669
2020-02-27 00:00:00+00:00,66.0360742181,149.9183256481,65.2057425721,188.2868767509,94.215,6.2834867356,337.52,169.6217349907,46.4759423006,49.4898104844
2020-02-28 00:00:00+00:00,65.9974453358,153.5482863715,66.4107310085,190.9859033899,94.1875,6.7180572553,345.12,167.8974362034,45.2678240682,49.2150148324
2020-03-02 00:00:00+00:00,72.1418519198,163.7652515409,68.7448382391,194.9252915359,97.6975,6.8762638097,360.28,174.1640306532,46.5857712308,51.572938814
2020-03-03 00:00:00+00:00,69.8506763409,155.9177124312,66.3348613662,184.4566404175,95.4495,6.6140787337,348.34,166.8825632028,44.7095270063,49.6139117466
2020-03-04 00:00:00+00:00,73.0906738402,161.6422457914,68.510782872,190.281378054,98.7915,7.0772557845,363.85,173.109745109,46.2562844401,52.0161576075
2020-03-05 00:00:00+00:00,70.7198261917,157.5857883772,65.1963208518,183.7421921895,96.2015,6.7981555423,351.03,167.1091853292,43.931572084,50.4914849578
2020-03-06 00:00:00+00:00,69.7806614918,153.131267385,64.2531570633,179.6936522309,95.0545,6.6178100204,336.77,161.6702542972,43.3549702004,49.4366242292
2020-03-09 00:00:00+00:00,64.2615599394,142.7531812436,60.2885963434,168.1930203387,90.0305,6.1053799857,305.79,148.9892683586,42.1102423247,45.075351301
2020-03-10 00:00:00+00:00,68.8897828948,152.5152166095,63.2331318724,176.8160135348,94.591,6.4944288082,332.38,158.9704950531,44.4624119134,47.8499009484
