pair_name,asset_y,asset_x,alpha,beta,spread_mean,spread_std,zscore_mean,zscore_std,zscore_min,zscore_max,num_observations
MA_NVDA,MA,NVDA,5.20717640469653,0.21157130314689993,3.1035780006566876e-16,0.07400426207521857,0.09639909934143576,1.332736203263589,-4.519235494795969,3.803591464292219,1760
V_MA,V,MA,-0.0122545977040059,0.91910994548843,-1.2797843592951805e-15,0.03193824147935619,-0.06444634500253495,1.3426004000474963,-4.231610675456114,3.856838096658195,1760
MA_AVGO,MA,AVGO,4.623049028299005,0.3055951481570457,3.598131893444257e-15,0.08152054581613409,0.07112292934868078,1.3014586453574288,-3.9311389600675284,3.2977213294416186,1760
HD_UNP,HD,UNP,-1.5497802319921767,1.3624856508713337,8.08242361927114e-15,0.09497048252641058,0.05956162266983923,1.294264053889947,-5.206293109012855,3.6975437822399293,1760
UNP_TXN,UNP,TXN,1.8259409305615109,0.6893363432050148,-4.917278705430693e-15,0.07177390945141988,-0.0009662804169022626,1.3207913096479649,-4.838146450971514,5.208618065073488,1760
HD_TXN,HD,TXN,0.4912175675141092,1.0292066463466056,-5.111063087910721e-15,0.09138426739346789,0.1297207667270713,1.3138413576510497,-3.7190181621569165,4.398730966884938,1760
ABT_TXN,ABT,TXN,1.090708048033678,0.7056396799180783,-5.302828883073248e-15,0.08242301820056043,0.03186456860578867,1.2970797531582976,-4.591129100240526,4.168457044563798,1760
PG_HD,PG,HD,1.0953545878195976,0.6700443704772668,-2.3577099868403326e-15,0.06147131689247524,0.019875284708039422,1.35135713505862,-4.12391677996361,4.602370843320938,1760
V_AVGO,V,AVGO,4.22548851870916,0.28360585768572805,1.73850832719712e-15,0.07473804246248406,0.07346270338286208,1.3096800366439385,-3.9719848828176687,3.578293363206883,1760
ORCL_AVGO,ORCL,AVGO,2.016161072933094,0.587305993142922,1.780898660864626e-15,0.1030345450088931,-0.014027163948330085,1.3344569741571883,-5.2878102457327865,5.245553804631386,1760
V_NVDA,V,NVDA,4.773448545545669,0.19453886589733688,-1.4120018285914491e-15,0.07483748808951386,0.05167604548815746,1.3475634800370204,-4.245345777752899,3.668987361048899,1760
UNP_ACN,UNP,ACN,1.7283669166520461,0.6372517598440456,4.1582898740505865e-16,0.06933335382176974,0.008971814913060356,1.277011571871897,-4.843310682652643,3.6128556062008372,1760
KO_COST,KO,COST,1.7025295456887581,0.3631600378411343,-7.458680138163551e-16,0.0648332719907751,0.05162834958998233,1.3754569603510287,-4.2905851445622405,3.8331880267530676,1760
BRK-B_MA,BRK-B,MA,-0.890025085950005,1.121653770340647,-4.68312257660066e-15,0.11199018306336052,-0.028038911572640043,1.3215690740993982,-2.881902066007497,3.978252744663202,1760
TXN_HON,TXN,HON,-1.9360051472485678,1.3488846399976886,-4.9939850234957044e-15,0.09187594079987718,0.055163744719533295,1.3225417281910243,-4.499649919186596,5.885049546279963,1760
AAPL_UNP,AAPL,UNP,-8.760608865801377,2.6003210643989205,5.7973827758608175e-15,0.2077485213380492,0.14777285795354853,1.3243478604535344,-5.121533924642737,4.4994724030089595,1760
MA_COST,MA,COST,2.640761515675959,0.5279348954871499,2.4132211380715905e-15,0.08463356585627849,0.15378395541075332,1.3455416545221364,-4.096018931258368,4.003734973497474,1760
JPM_V,JPM,V,-3.042435217573222,1.4751290082060087,-1.0971022070614046e-15,0.12292239423908441,-0.022996711802928893,1.334706744474127,-3.9623820779593597,4.564518042030216,1760
BRK-B_KO,BRK-B,KO,-0.7290005430864053,1.636894254441771,7.174059326396012e-15,0.0983639245403153,-0.10623761716430997,1.3880903355851293,-4.476952950898895,4.327948858088659,1760
PG_COST,PG,COST,2.559347037168226,0.3715629851258338,1.432187701766452e-15,0.06155103222516885,-0.05057966213692366,1.3037589508053036,-5.122888317685756,3.64623291053785,1760
